N,Identifier,Otype,ICRS (J2000)RA,ICRS (J2000)DEC,Mag U,Mag B,Mag V,Mag R,Mag I,Sp type,#ref 1850 - 2022,#notes
46,SN 1996ck,SN*,12 48 35.19,-00 46 03.0,,,,23.08,,SNIa:,15,1
47,SN 1992ag,SN*,13 24 09.85,-23 52 43.7,,16.64,16.15,,,SNIa,62,1
48,SN 1993O,SN*,13 31 07.87,-33 12 50.5,,17.79,17.96,,,SNIa,67,1
49,SN 1996ci,SN*,13 45 56.16,+02 26 53.7,,,,22.19,,SNIa,21,1
50,SN 1997ap,SN*,13 47 09.90,+02 23 57.5,,,,23.2,,SNIa,26,1
51,SN 1996cn,SN*,13 48 27.22,+02 27 46.6,,,,22.58,,SNIa,19,1
52,SN 1996cm,SN*,15 30 11.25,+05 55 27.0,,,,22.66,,SNIa,20,1
53,SN 1992bi,SN*,16 10 12.79,+39 47 12.5,,,,22.12,,SNIa,30,1
54,SN 1990O,SN*,17 15 35.92,+16 19 25.8,,16.59,16.22,,,SNIa,75,1
55,SN 1992al,SN*,20 45 56.49,-51 23 39.9,,14.59,14.54,,,SNIa,82,2
56,SN 1992ae,SN*,21 28 17.94,-61 33 01.4,,18.64,18.45,,,SNIa,64,2
57,SN 1990af,SN*,21 34 58.12,-62 44 07.4,,17.91,17.75,,,SNIa,79,1
58,SN 1994an,SN*,22 44 18.87,+00 06 48.7,,,,22.14,,SNIa,16,1
59,SN 1992aq,SN*,23 04 34.76,-37 20 42.1,,19.39,19.33,,,SNIa,55,1
60,SN 1992bl,SN*,23 15 13.09,-44 44 35.7,,17.34,17.33,,,SNIa,61,1
